temperature,pressure,objective
-50,0,
-50,1000,
-50,2000,
-50,3000,
-50,4000,
-50,5000,
-50,6000,
-50,7000,
-50,8000,
-50,9000,
-50,10000,
-50,11000,
-50,12000,
-50,13000,
-50,14000,
-50,15000,0
-50,16000,
-50,17000,
-50,18000,
-50,19000,
-50,20000,
-40,0,
-40,1000,
-40,2000,
-40,3000,
-40,4000,
-40,5000,
-40,6000,
-40,7000,
-40,8000,
-40,9000,
-40,10000,
-40,11000,
-40,12000,
-40,13000,
-40,14000,
-40,15000,
-40,16000,
-40,17000,
-40,18000,
-40,19000,
-40,20000,
-30,0,
-30,1000,
-30,2000,
-30,3000,
-30,4000,
-30,5000,
-30,6000,
-30,7000,
-30,8000,
-30,9000,
-30,10000,
-30,11000,
-30,12000,
-30,13000,
-30,14000,
-30,15000,
-30,16000,
-30,17000,
-30,18000,
-30,19000,
-30,20000,
-20,0,
-20,1000,
-20,2000,
-20,3000,
-20,4000,
-20,5000,
-20,6000,
-20,7000,
-20,8000,
-20,9000,
-20,10000,
-20,11000,
-20,12000,
-20,13000,
-20,14000,
-20,15000,
-20,16000,
-20,17000,
-20,18000,
-20,19000,
-20,20000,
-10,0,
-10,1000,
-10,2000,
-10,3000,
-10,4000,
-10,5000,
-10,6000,
-10,7000,
-10,8000,
-10,9000,
-10,10000,
-10,11000,
-10,12000,
-10,13000,
-10,14000,
-10,15000,
-10,16000,
-10,17000,
-10,18000,
-10,19000,
-10,20000,
0,0,
0,1000,
0,2000,
0,3000,
0,4000,
0,5000,
0,6000,
0,7000,
0,8000,
0,9000,
0,10000,
0,11000,
0,12000,
0,13000,
0,14000,
0,15000,
0,16000,
0,17000,
0,18000,
0,19000,
0,20000,
10,0,
10,1000,
10,2000,
10,3000,
10,4000,
10,5000,
10,6000,
10,7000,
10,8000,
10,9000,
10,10000,
10,11000,
10,12000,
10,13000,
10,14000,
10,15000,
10,16000,
10,17000,
10,18000,
10,19000,
10,20000,
20,0,
20,1000,
20,2000,
20,3000,
20,4000,
20,5000,
20,6000,
20,7000,
20,8000,
20,9000,
20,10000,
20,11000,
20,12000,
20,13000,
20,14000,
20,15000,
20,16000,
20,17000,
20,18000,
20,19000,
20,20000,
30,0,
30,1000,
30,2000,
30,3000,
30,4000,
30,5000,
30,6000,
30,7000,
30,8000,
30,9000,
30,10000,
30,11000,
30,12000,
30,13000,
30,14000,
30,15000,
30,16000,
30,17000,
30,18000,
30,19000,
30,20000,
40,0,
40,1000,
40,2000,
40,3000,
40,4000,
40,5000,
40,6000,
40,7000,
40,8000,
40,9000,
40,10000,
40,11000,
40,12000,
40,13000,
40,14000,
40,15000,
40,16000,
40,17000,
40,18000,
40,19000,
40,20000,
50,0,
50,1000,
50,2000,
50,3000,
50,4000,
50,5000,
50,6000,
50,7000,
50,8000,
50,9000,
50,10000,
50,11000,
50,12000,
50,13000,
50,14000,
50,15000,
50,16000,
50,17000,
50,18000,
50,19000,
50,20000,
60,0,
60,1000,
60,2000,
60,3000,
60,4000,
60,5000,
60,6000,
60,7000,
60,8000,
60,9000,
60,10000,
60,11000,
60,12000,
60,13000,
60,14000,
60,15000,
60,16000,
60,17000,
60,18000,
60,19000,
60,20000,
70,0,
70,1000,
70,2000,
70,3000,
70,4000,
70,5000,
70,6000,
70,7000,
70,8000,
70,9000,
70,10000,
70,11000,
70,12000,
70,13000,
70,14000,
70,15000,
70,16000,
70,17000,
70,18000,
70,19000,
70,20000,
80,0,
80,1000,
80,2000,
80,3000,
80,4000,
80,5000,
80,6000,
80,7000,
80,8000,
80,9000,
80,10000,
80,11000,
80,12000,
80,13000,
80,14000,
80,15000,
80,16000,
80,17000,
80,18000,
80,19000,
80,20000,
90,0,
90,1000,
90,2000,
90,3000,
90,4000,
90,5000,
90,6000,
90,7000,
90,8000,
90,9000,
90,10000,
90,11000,
90,12000,
90,13000,
90,14000,
90,15000,
90,16000,
90,17000,
90,18000,
90,19000,
90,20000,
100,0,
100,1000,
100,2000,
100,3000,2
100,4000,
100,5000,
100,6000,
100,7000,
100,8000,
100,9000,
100,10000,
100,11000,
100,12000,
100,13000,
100,14000,
100,15000,1
100,16000,
100,17000,
100,18000,
100,19000,
100,20000,
110,0,
110,1000,
110,2000,
110,3000,
110,4000,
110,5000,
110,6000,
110,7000,
110,8000,
110,9000,
110,10000,
110,11000,
110,12000,
110,13000,
110,14000,
110,15000,
110,16000,
110,17000,
110,18000,
110,19000,
110,20000,
120,0,
120,1000,
120,2000,
120,3000,
120,4000,
120,5000,
120,6000,
120,7000,
120,8000,
120,9000,
120,10000,
120,11000,
120,12000,
120,13000,
120,14000,
120,15000,
120,16000,
120,17000,
120,18000,
120,19000,
120,20000,
130,0,
130,1000,
130,2000,
130,3000,
130,4000,
130,5000,
130,6000,
130,7000,
130,8000,
130,9000,
130,10000,
130,11000,
130,12000,
130,13000,
130,14000,
130,15000,
130,16000,
130,17000,
130,18000,
130,19000,
130,20000,
140,0,
140,1000,
140,2000,
140,3000,
140,4000,
140,5000,
140,6000,
140,7000,
140,8000,
140,9000,
140,10000,
140,11000,
140,12000,
140,13000,
140,14000,
140,15000,
140,16000,
140,17000,
140,18000,
140,19000,
140,20000,
150,0,
150,1000,
150,2000,
150,3000,
150,4000,
150,5000,
150,6000,
150,7000,
150,8000,
150,9000,
150,10000,
150,11000,
150,12000,
150,13000,
150,14000,
150,15000,
150,16000,
150,17000,
150,18000,
150,19000,
150,20000,
