Al,Si,Zn,Liquidus temperature
0,0,100,692.68
0,4,96,1053.85
0,8,92,1153.05
0,12,88,1214.47
0,16,84,1258.63
0,20,80,1292.87
0,24,76,1320.81
0,28,72,1344.58
0,32,68,1365.55
0,36,64,1384.69
0,40,60,1402.68
0,44,56,1420.03
0,48,52,1437.15
0,52,48,1454.31
0,56,44,1471.73
0,60,40,1489.55
0,64,36,1507.87
0,68,32,1526.73
0,72,28,1546.12
0,76,24,1565.98
0,80,20,1586.22
0,84,16,1606.71
0,88,12,1627.27
0,92,8,1647.68
0,96,4,1667.69
0,100,0,1687.0
4,0,96,678.32
4,4,92,1033.01
4,8,88,1131.3
4,12,84,1192.7
4,16,80,1237.28
4,20,76,1272.25
4,24,72,1301.15
4,28,68,1326.05
4,32,64,1348.28
4,36,60,1368.77
4,40,56,1388.19
4,44,52,1407.03
4,48,48,1425.65
4,52,44,1444.32
4,56,40,1463.23
4,60,36,1482.5
4,64,32,1502.21
4,68,28,1522.37
4,72,24,1542.96
4,76,20,1563.89
4,80,16,1585.05
4,84,12,1606.29
4,88,8,1627.4
4,92,4,1648.14
4,96,0,1668.24
8,0,92,665.07
8,4,88,1012.42
8,8,84,1109.82
8,12,80,1171.2
8,16,76,1216.23
8,20,72,1251.95
8,24,68,1281.82
8,28,64,1307.86
8,32,60,1331.37
8,36,56,1353.24
8,40,52,1374.11
8,44,48,1394.45
8,48,44,1414.59
8,52,40,1434.79
8,56,36,1455.21
8,60,32,1475.95
8,64,28,1497.06
8,68,24,1518.55
8,72,20,1540.34
8,76,16,1562.36
8,80,12,1584.46
8,84,8,1606.46
8,88,4,1628.13
8,92,0,1649.23
12,0,88,656.14
12,4,84,992.12
12,8,80,1088.64
12,12,76,1150.02
12,16,72,1195.51
12,20,68,1231.99
12,24,64,1262.85
12,28,60,1290.05
12,32,56,1314.85
12,36,52,1338.11
12,40,48,1360.45
12,44,44,1382.3
12,48,40,1403.98
12,52,36,1425.71
12,56,32,1447.65
12,60,28,1469.87
12,64,24,1492.4
12,68,20,1515.21
12,72,16,1538.23
12,76,12,1561.34
12,80,8,1584.39
12,84,4,1607.16
12,88,0,1629.41
16,0,84,677.39
16,4,80,972.13
16,8,76,1067.79
16,12,72,1129.18
16,16,68,1175.14
16,20,64,1212.4
16,24,60,1244.25
16,28,56,1272.62
16,32,52,1298.72
16,36,48,1323.39
16,40,44,1347.2
16,44,40,1370.57
16,48,36,1393.79
16,52,32,1417.07
16,56,28,1440.54
16,60,24,1464.24
16,64,20,1488.19
16,68,16,1512.33
16,72,12,1536.58
16,76,8,1560.79
16,80,4,1584.78
16,84,0,1608.33
20,0,80,695.15
20,4,76,952.48
20,8,72,1047.31
20,12,68,1108.72
20,16,64,1155.16
20,20,60,1193.2
20,24,56,1226.06
20,28,52,1255.61
20,32,48,1283.01
20,36,44,1309.08
20,40,40,1334.37
20,44,36,1359.26
20,48,32,1384.03
