Cu,Mg,Zn,Liquidus temperature
0,0,100,692.68
0,4,96,666.39
0,8,92,649.25
0,12,88,721.0
0,16,84,777.1
0,20,80,815.7
0,24,76,841.2
0,28,72,856.24
0,32,68,862.62
0,36,64,861.63
0,40,60,854.22
0,44,56,841.07
0,48,52,822.58
0,52,48,798.94
0,56,44,770.0
0,60,40,735.17
0,64,36,693.17
0,68,32,650.66
0,72,28,629.17
0,76,24,685.5
0,80,20,734.57
0,84,16,778.63
0,88,12,818.93
0,92,8,856.2
0,96,4,890.85
0,100,0,923.0
4,0,96,755.75
4,4,92,726.7
4,8,88,687.7
4,12,84,754.06
4,16,80,820.69
4,20,76,867.67
4,24,72,900.4
4,28,68,922.03
4,32,64,934.67
4,36,60,939.83
4,40,56,938.65
4,44,52,931.97
4,48,48,920.41
4,52,44,904.38
4,56,40,884.08
4,60,36,859.49
4,64,32,831.02
4,68,28,800.69
4,72,24,764.62
4,76,20,721.29
4,80,16,741.47
4,84,12,781.57
4,88,8,819.04
4,92,4,854.54
4,96,0,888.51
8,0,92,825.04
8,4,88,795.1
8,8,84,755.06
8,12,80,790.13
8,16,76,859.57
8,20,72,908.8
8,24,68,943.18
8,28,64,965.92
8,32,60,979.18
8,36,56,984.51
8,40,52,983.1
8,44,48,978.5
8,48,44,968.78
8,52,40,954.29
8,56,36,935.23
8,60,32,911.6
8,64,28,883.09
8,68,24,849.04
8,72,20,808.27
8,76,16,758.74
8,80,12,742.04
8,84,8,779.55
8,88,4,815.57
8,92,0,850.8
12,0,88,872.44
12,4,84,841.68
12,8,80,800.65
12,12,76,818.25
12,16,72,888.98
12,20,68,939.17
12,24,64,975.84
12,28,60,1001.77
12,32,56,1017.6
12,36,52,1025.0
12,40,48,1025.22
12,44,44,1019.21
12,48,40,1007.64
12,52,36,990.95
12,56,32,969.31
12,60,28,942.61
12,64,24,910.4
12,68,20,871.69
12,72,16,824.73
12,76,12,766.23
12,80,8,736.52
12,84,4,772.78
12,88,0,808.79
16,0,84,927.53
16,4,80,896.03
16,8,76,858.1
16,12,72,841.94
16,16,68,918.24
16,20,64,972.57
16,24,60,1010.74
16,28,56,1036.16
16,32,52,1051.16
16,36,48,1057.4
16,40,44,1056.16
16,44,40,1048.37
16,48,36,1034.71
16,52,32,1015.57
16,56,28,991.04
16,60,24,960.86
16,64,20,924.26
16,68,16,879.69
16,72,12,824.17
16,76,8,751.43
16,80,4,750.19
16,84,0,761.57
20,0,80,974.68
20,4,76,949.05
20,8,72,914.29
20,12,68,872.42
20,16,64,947.06
20,20,60,1000.96
20,24,56,1038.57
20,28,52,1063.19
20,32,48,1077.11
20,36,44,1081.99
20,40,40,1079.11
20,44,36,1069.4
20,48,32,1053.49
20,52,28,1031.69
20,56,24,1003.95
20,60,20,969.72
20,64,16,927.65
20,68,12,875.0
20,72,8,805.88
20,76,4,780.81
20,80,0,791.79
24,0,76,1022.15
24,4,72,994.42
24,8,68,957.77
24,12,64,914.18
24,16,60,970.36
24,20,56,1023.59
24,24,52,1060.41
24,28,48,1084.04
24,32,44,1096.74
24,36,40,1100.15
24,40,36,1095.55
24,44,32,1083.81
24,48,28,1065.51
24,52,24,1040.8
24,56,20,1009.35
24,60,16,970.06
24,64,12,920.43
24,68,8,854.9
24,72,4,802.77
24,76,0,816.56
28,0,72,1058.74
28,4,68,1028.67
28,8,64,989.81
28,12,60,944.08
28,16,56,988.51
28,20,52,1040.91
28,24,48,1076.81
28,28,44,1099.34
28,32,40,1110.73
28,36,36,1112.62
28,40,32,1106.23
28,44,28,1092.37
28,48,24,1071.47
28,52,20,1043.42
28,56,16,1007.37
28,60,12,961.1
28,64,8,899.44
28,68,4,816.25
28,72,0,832.79
32,0,68,1085.1
32,4,64,1052.49
32,8,60,1011.14
32,12,56,962.88
32,16,52,1001.7
32,20,48,1053.18
32,24,44,1088.07
32,28,40,1109.46
32,32,36,1119.52
32,36,32,1119.86
32,40,28,1111.61
32,44,24,1095.48
32,48,20,1071.64
32,52,16,1039.48
32,56,12,997.1
32,60,8,939.81
32,64,4,854.31
32,68,0,840.31
36,0,64,1101.62
36,4,60,1066.29
36,8,56,1022.17
36,12,52,971.0
36,16,48,1010.08
36,20,44,1060.6
36,24,40,1094.46
36,28,36,1114.69
36,32,32,1123.42
36,36,28,1122.19
36,40,24,1112.02
36,44,20,1093.36
36,48,16,1065.94
36,52,12,1028.2
36,56,8,975.98
36,60,4,897.51
36,64,0,838.74
40,0,60,1108.51
40,4,56,1072.37
40,8,52,1031.91
40,12,48,984.41
40,16,44,1013.84
40,20,40,1063.38
40,24,36,1096.22
40,28,32,1115.33
40,32,28,1122.76
40,36,24,1119.94
40,40,20,1107.69
40,44,16,1086.04
40,48,12,1053.89
40,52,8,1007.7
40,56,4,937.59
40,60,0,827.63
44,0,56,1120.64
44,4,52,1087.21
44,8,48,1045.36
44,12,44,995.86
44,16,40,1013.21
44,20,36,1061.79
44,24,32,1093.67
44,28,28,1111.73
44,32,24,1117.92
44,36,20,1113.49
44,40,16,1098.89
44,44,12,1073.48
44,48,8,1034.51
44,52,4,974.32
44,56,0,879.02
48,0,52,1134.86
48,4,48,1100.11
48,8,44,1056.41
48,12,40,1004.32
48,16,36,1008.53
48,20,32,1056.24
48,24,28,1087.27
48,28,24,1104.41
48,32,20,1109.46
48,36,16,1103.38
48,40,12,1086.08
48,44,8,1055.73
48,48,4,1007.11
48,52,0,934.92
52,0,48,1147.97
52,4,44,1111.53
52,8,40,1065.46
52,12,36,1010.15
52,16,32,1000.35
52,20,28,1047.32
52,24,24,1077.69
52,28,20,1094.15
52,32,16,1098.27
52,36,12,1090.64
52,40,8,1070.45
52,44,4,1034.91
52,48,0,983.54
56,0,44,1160.32
56,4,40,1121.75
56,8,36,1072.76
56,12,32,1013.56
56,16,28,989.51
56,20,24,1035.95
56,24,20,1066.01
56,28,16,1082.21
56,32,12,1085.94
56,36,8,1077.47
56,40,4,1056.13
56,44,0,1023.36
60,0,40,1172.04
60,4,36,1131.63
60,8,32,1087.62
60,12,28,1036.58
60,16,24,980.24
60,20,20,1023.53
60,24,16,1053.85
60,28,12,1070.66
60,32,8,1075.35
60,36,4,1068.73
60,40,0,1052.69
64,0,36,1191.19
64,4,32,1155.86
64,8,28,1111.98
64,12,24,1061.35
64,16,20,1005.69
64,20,16,1011.93
64,24,12,1043.45
64,28,8,1062.37
64,32,4,1070.51
64,36,0,1069.77
68,0,32,1214.08
68,4,28,1178.55
68,8,24,1134.7
68,12,20,1084.29
68,16,16,1028.88
68,20,12,1002.97
68,24,8,1036.76
68,28,4,1059.37
68,32,0,1072.9
72,0,28,1235.59
72,4,24,1199.85
72,8,20,1155.97
72,12,16,1105.55
72,16,12,1049.87
72,20,8,996.89
72,24,4,1033.58
72,28,0,1060.62
76,0,24,1255.85
76,4,20,1219.94
76,8,16,1175.95
76,12,12,1125.22
76,16,8,1068.55
76,20,4,1006.16
76,24,0,1031.95
80,0,20,1275.01
80,4,16,1238.97
80,8,12,1194.79
80,12,8,1143.34
80,16,4,1084.56
80,20,0,1017.28
84,0,16,1293.18
84,4,12,1257.12
84,8,8,1212.62
84,12,4,1159.82
84,16,0,1097.13
88,0,12,1310.49
88,4,8,1274.53
88,8,4,1229.55
88,12,0,1174.41
92,0,8,1327.0
92,4,4,1291.37
92,8,0,1245.69
96,0,4,1342.77
96,4,0,1307.8
100,0,0,1357.77
